ภูมิประเทศ	คำอธิบาย
เอกสาน	ภูเขา อยู่ภาคเหนืออำเภอซาโห้ มณฑลจิลี
เองจิ๋ว, เอียงจิ๋ว, เอียวจิ๋ว	เมือง เปนอย่างมณฑลสืบมาแต่ครั้งพระเจ้าอูฮองเต้ ครั้งราชวงศ์ตั้งฮั่นตั้งที่ว่าการมณฑลที่เมืองเล็กเอี๋ยง คืออำเภอห้อมณฑลงางไฝ ต่อมาถึงครั้งสามก๊กมณฑลเองจิ๋ว แยกออกเปน ๒ ภาค ของวุยก๊กภาค ๑ ตั้งที่ว่าการมณฑลที่เมืองหับหุย แล้วย้ายไปตั้งที่เมืองฉิวฉุน ของง่อก๊กภาคหนึ่ง ตั้งที่ว่าการมณฑลที่เมืองเกียนเงียบ คนภายหลังสามก๊กลงมาชี้เอาอำเภอเกียงตูเปนเมืองเองจิ๋ว คือเมืองเองจิ๋วฟู้ มณฑลเกียงซู
เอ๊งจิ๋ว	เมือง ตั้งขึ้นภายหลังสามก๊กเรียกว่าเอ๊งจิ๋วฟู้ มณฑลงางไฝ
เองฉวน	เมือง เปนหัวเมืองใหญ่เก่ามาตั้งแต่ครั้งราชวงศ์จิ๋น ตั้งที่ว่าการเมืองที่อำเภอเอี้ยงคี คืออำเภออี้มณฑลโห้ลำ
เองเฉียง	เมือง ภายหลังเรียกเองเฉียงฟู้ มณฑลยงลำ
เองเป๋ง	ด่าน ด่านชื่อนี้มีอยู่ในมณฑลเซียนซี ๓ แห่ง อยู่ทางตวันตกเฉียงเหนืออำเภอเมียนแห่ง ๑ อยู่ทางตวันตกเฉียงเหนืออำเภอลิงเกียงแห่ง ๑ อยู่ทางตวันตกเฉียงเหนืออำเภอเพาแห่ง ๑ ที่กล่าวในสามก๊กคือด่านที่อยู่ทางตวันตกเฉียงเหนืออำเภอเมียน
เองหยง, เอี๋ยงหยง	เมือง ภายหลังเปนอำเภอเองหยง มณฑลโห้ลำ เมืองเก่าอยู่ทางตวันตกเฉียงใต้อำเภอยงจะ มณฑลโห้ลำ
เองอั๋น	เมือง คือเมืองปักเต้เสีย มณฑลเสฉวน เมื่อเล่าปี่เสียทัพลกซุน ไปอาศัยอยู่ จึงเปลี่ยนเปนเองอั๋น
อองจิ๋ว	เมือง อยู่ในมณฑลฮูเป
อองเสีย	เมือง (ดูที่ฮางเสีย)
เอียงเป๋ง	เมือง (ดูที่ยงเป๋ง)
เอียงเหลงโผ	ทาง ไม่ทราบว่าอยู่ที่ไหน
เอียงเสีย, เอียนเสีย	ภายหลังเปนอำเภอเพาะจิ๋ว มณฑลซันตัง
อวดจุ้น	เมือง ภายหลังเปนอำเภอซีเชียง มณฑลเสฉวน
อันจงก๋วน, จงก๋วน	เมือง เมืองเก่าอยู่แขวงอำเภอเจียนพิง มณฑลโห้ลำ
อันต๋ง	เมือง (ดูที่ฮันต๋ง)
อันเป๋ง	ด่าน ภายหลังเปนอำเภออันเป๋ง มณฑลจิลี
อันลกจัว	ธารน้ำ ไม่ทราบว่าอยู่ที่ไหน
อันหลิม	ป่า ไม่ทราบว่าอยู่ที่ไหน
อันเหียง	เมือง คืออำเภออันเหียง มณฑลฮูลำ ตั้งขึ้นภายหลังสามก๊ก
อันอิบ	เมือง ภายหลังเปนอำเภออันอิบ มณฑลซันซี
อันเอี๋ยง	เมือง (ดูที่ฮวนหยง)
อิ๋นไซ	ตะพาน ไม่ทราบว่าอยู่ที่ไหน
อวนเทาก๋วน	ด่าน ไม่ทราบว่าอยู่ที่ไหน
อวนเสีย	เมือง เมืองเก่าอยู่ทางเหนืออำเภอเฉียนซัน มณฑลงางไฝ
อ้วนเสีย	เมือง เมืองเก่าอยู่ทางใต้อำเภอกิ่งมั่น มณฑลฮูเป
อ้วนสุย	แม่น้ำ ไม่ทราบว่าอยู่ที่ไหน
เอี๋ยนก๋วน	เมือง ง่อก๊กครั้งสามก๊กเปลี่ยนเปนบู๊เฉียง คือเมืองบู๊เฉียงฟู้ มณฑลฮูเป
เอียนเข	แม่น้ำ ไม่ทราบว่าอยู่ที่ไหน
เอียนเหลง, เอียนเหลียง	เมือง ภายหลังเปนอำเภอเอียนเหลง มณฑลโห้ลำ
เอียนเสีย	เมือง เมืองเก่าอยู่ทางตวันออกอำเภอเพาะ มณฑลซันตง
อิมตองสัน	ภูเขา ไม่ทราบว่าอยู่ที่ไหน
อิมเป๋ง	เมือง เมืองเก่าอยู่ทางตวันตกเฉียงเหนืออำเภอวันมณฑลกังซก
อิวกั๋ง	เมือง (ดูที่อือกั๋ง)
อิวก๊ก	เมือง (ดูที่อือกั๋ง)
อิวตั๋ง	เมือง (ดูที่อือกั๋ง)
อิวจี๋ว	เมือง เปนอย่างมณฑลมาแต่ครั้งพระเจ้าสุ่นเต้ฮองเต้ ครั้งราชวงศ์ตั้งฮั่นตั้งที่ว่าการมณฑลที่เมืองคี คืออำเภอต่าฮิง มณฑลจิลี ราชวงศ์ภายหลังสามก๊กลงมาชี้เอาเมืองปักกิงเปนเมืองอิวจิ๋ว
อุยก้วน	เมือง ภายหลังเปนอำเภออุย มณฑลซันตง
อุยซุย	แม่น้ำ (ดูที่มอซุย)
อุยเต้	ตำบล ภายหลังเปนเมืองคีจิ๋ว มณฑลฮูเป
อุยหลำ	เมือง คืออำเภออุยหลำมณฑลเซียนซี ซึ่งตั้งขึ้นครั้งราชวงศ์จิ้น
อุยโห	แม่น้ำ (ดูที่มอซุย)
เอียวซุย	เมือง (ดูที่เลียวซุย)
อัวกั๋ง	ทาง อยู่ทางตวันออกเฉียงใต้อำเภอฮอ มณฑลงางไฝ
อัวเจ๋า	ตำบล คือบึงอัวเจ๋าอยู่ทางตวันออกเฉียงใต้ อำเภอเอี้ยนจิน มณฑลโห้ลำ
ฮีสัน	ภูเขา อยู่ทางใต้อำเภอเซียงเอี๋ยง มณฑลฮูเป
ฮูเชียง, ฮูโต๋	เมือง โจโฉสร้างขึ้นที่ตำบลฮู ครั้นโจผีได้เปนเจ้าแผ่นดินเปลี่ยนเปนฮูเชียง ภายหลังมาเปนอำเภอฮูเชียง มณฑลโห้ลำ เมืองเก่าอยู่ทางตวันตกเฉียงใต้เมืองฮูจิ๋วมณฑลโห้ลำ
แฮเค้า	เมือง เมืองเก่าอยู่บนภูเขาฮวางคกทางตวันตกอำเภอบูเฉียง มณฑลฮูเป
แฮฌ้อ	เมือง เมืองเก่าอยู่ทางเหนือเมืองเสียวจิ๋ว มณฑลงางไฝ
แฮปังก๋วน	ตำบล เปนเมืองด่าน เมืองเก่าอยู่ทางตวันออกเฉียงใต้ อำเภอเจียวฝา มณฑลเสฉวน
แฮเปี๋ยน	ตำบล อยู่ทางตวันตกอำเภอเฉ่ง มณฑลกังซก
แฮหุย	เมือง เมืองไม่ทราบว่าอยู่ที่ไหน
โฮกั้น	เมือง อยู่ในมณฑลจิลี
โฮก้วน	ด่าน เมืองด่านเก่าอยู่ทางตวันออกอำเภอเชียงตี๋ มณฑลซันซี
โฮจิ๋ว	เมือง (ดูที่โอจิ๋ว)
โฮต๋ง	เมือง เปนชื่อเมืองที่อยู่ทางตวันออกแม่น้ำฮองโห ไม่เจาะจงว่าเมืองใด (ดูอธิบายที่ฮองโห)
โฮโลก๊ก, เฮาโลก๊ก	ตำบล ไม่ทราบว่าอยู่ที่ไหน
โฮ่โล่	เมือง ดูที่โห้ลาย
โฮ่ล่าย	เมือง ดูที่โห้ลาย
เฮาโลก๋วน	ด่าน อยู่ในมณฑลโห้ลำ ด่านนี้เรียกเปน ๓ ชื่อ เรียกด่านเฮาโลก๋วนชื่อ ๑ ด่านกิสุยก๋วน ๑ อำเภอเฉ่งเกาชือ ๑
เฮาเต๋ง	ตำบล (ดูที่อูเต๋ง)
เฮาโห	เมือง ไม่ทราบว่าอยู่ที่ไหน
เฮกสวน	ธารน้ำ คือแม่น้ำงะจีนะ มณฑลกังซก
ฮังเต๋ง	เมือง ภายหลังเปนอำเภอฮังเต๋ง มณฑลกังซก เมืองเก่าคืออำเภอเจียนย่ง มณฑลกังซก
ฮังเสีย	เมือง ไม่ทราบว่าอยู่ที่ไหน
ฮางเนีย	ภูเขา ไม่ทราบว่าอยู่ที่ไหน
ฮางเสีย, อองเสีย	เมือง ครั้งสามก๊กเปนแต่อำเภอ พึ่งมาตั้งเปนเมืองขึ้นภายหลัง อยู่ในมณฑลโห้ลำ
ฮองจิ๋ว	เมือง (ดูที่ยงจิ๋ว)
ฮองเบงสาน	ภูเขา ไม่ทราบว่าอยู่ที่ไหน
ฮองหลง	เมือง เมืองเก่าอยู่ทางใต้อำเภอลิงป๊าว มณฑลโห้ลำ
ฮองโห	แม่น้ำ แปลว่าแม่น้ำสีเหลือง เปนแม่น้ำใหญ่ที่ ๒ ในประเทศจีน แต่ก่อนมาสายน้ำไหลไปลงทะเลทางเมืองเทียนสินฟู้มณฑลจิลี ต่อมาเปลี่ยนไปลงทางอำเภองางตงมณฑลเกียงซู แล้วเปลี่ยนมาลงทางหลีสินมณฑลซันตง แม่น้ำฮองโหที่กล่าวในสามก๊กคือตอนมณฑลโห้ลำ
ฮันกั๋ง	ทาง ไม่ทราบว่าอยู่ที่ไหน
ฮั่นกั๋ง	เมือง ไม่ทราบว่าอยู่ที่ไหน
ฮันจิ๋น	แม่น้ำ ไม่ทราบว่าอยู่ที่ไหน
ฮันฉวน	แม่น้ำ อยู่ภาคตวันออกเฉียงเหนืออำเภอฮันฉวนมณฑลฮูเป
ฮันซุย	ตำบล หมายเอาตำบล ๒ ฝั่งน้ำฮันซุย มณฑลเซียนซี
ฮันต๋ง อันต๋ง	เปนอย่างมณฑลมาแต่ครั้งราชวงศ์จิ๋น ครั้งสามก๊กบางคราวก็เรียกว่าลำต๋ง คือเมืองฮันต๋งฟู้มณฑลเซียนซี
ฮันตั้น	เมือง ภายหลังเปนอำเภอฮันตั้น มณฑลจิลี
ฮันเบ๋ง	เมือง ภายหลังเปนอำเภอฮันเบ๋ง มณฑลจิลี
ฮวนกวน	เมือง ภายหลังเปนอำเภอฮวนกวน มณฑลซันตง
ฮวนหยง, อันเอี๋ยง	เมือง ชื่อนี้มี ๖ เมือง อยู่ในมณฑลกังซกเมือง ๑ ในมณฑลฮูเปมีทั้งเมืองและอำเภอเปน ๒ มณฑล เสฉวนมีอำเภอ ๒ มณฑลซันซีมีเมือง ๑ ที่กล่าวในสามก๊กไม่แน่ว่าเมืองไหน
ฮับปา	เมือง (ดูที่หับป๋า)
ฮุยซุย	แม่น้ำ (ดูที่มอซุย)
ฮุยสาน	ภูเขา ไม่ทราบว่าอยู่ที่ไหน
ฮุยโห	แม่น้ำ (ดูที่มอซุย)
ฮุยเอี๋ยง	เมือง ภายหลังเปนอำเภอเจี๋ยน มณฑลหูลำ
ฮัวหยง	ตำบล อยู่ทางตวันตกเฉียงเหนืออำเภอเกียนหลี มณฑลฮูเป ภายหลังตั้งเปนอำเภอฮัวหยง อยู่ในมณฑลหูลำ
ฮัวหลิม	ตำบล อยู่ทางตวันตกอำเภอเกียนฮี มณฑลฮูเป
