English	ไทย	สังกัด	ตำแหน่ง	กลุ่ม	ช่วงที่ปรากฏ
Sun Lang	ซุนลอง	ง่อก๊ก (Wu)	ขุนนาง	ลูกพี่ลูกน้อง	ต้น
Sun Li	ซุนเล้	วุยก๊ก (Wei)	นักรบ		ปลาย
Sun Liang	ซุนเหลียง	ง่อก๊ก (Wu)	ขุนนาง	ลูกซุนกวน3	ท้ายสุด
Sun Qian	ซุนเขียน	จกก๊ก (Shu)	ขุนนาง	โตเกี๋ยม	ต้น
Sun Qiao	ซุนเหียม	วุยก๊ก (Wei)	นักรบ		ปลาย
Sun Quan	ซุนกวน	ง่อก๊ก (Wu)	ขุนนาง	4พี่น้อง	ต้น
Sun Ren	ซุนหยิน(เมียเล่าปี่)	ง่อก๊ก (Wu)	ขุนนาง	ลูกพี่ลูกน้อง	ต้น
Sun Shao	ซุนเสียว	ง่อก๊ก (Wu)	นักรบ	หลานซุนกวน	ปลาย
Sun Wan	ซุนเปียน	ง่อก๊ก (Wu)	ขุนนาง	ลูกซุนฮิว2	ท้ายสุด
Sun Xi	ซุนซิ่ว	ง่อก๊ก (Wu)	นักรบ		ท้ายสุด
Sun Xin	ซุนหลิม	ง่อก๊ก (Wu)	นักรบ		ท้ายสุด
Sun Xiu	ซุนฮิว	ง่อก๊ก (Wu)	ขุนนาง	ลูกซุนกวน6	ท้ายสุด
Sun Yi	ซุนเซียง	ง่อก๊ก (Wu)	ขุนนาง		กลาง
Sun Yin	ซุนฮี	ง่อก๊ก (Wu)	นักรบ		ท้ายสุด
Sun Zhong	ซุนต๋อง		นักรบ	โจรผ้าเหลือง	ต้น
Sun Zu	ซุนจู้	วุยก๊ก (Wei)	กุนซือ		ปลาย
Taishi Ci	ไทสูจู้	ง่อก๊ก (Wu)	นักรบ	เล่าอิ้ว	ต้น
Taishi Heng	ไทสูเอี๋ยง	ง่อก๊ก (Wu)	นักรบ	ลูกไทสูจู้	กลาง
Tan Fu	เตียวลี		ขุนนาง	เล่าเปียว	ต้น
Tan Xiong	กำหยง	ง่อก๊ก (Wu)	นักรบ		ปลาย
Tang Bin	ตงปิ่น	วุยก๊ก (Wei)	นักรบ		ท้ายสุด
Tang Zhou	ตองจิ๋ว		นักรบ	โจรผ้าเหลือง	ต้น
Tang Zi	ต๋องจู	ง่อก๊ก (Wu)	นักรบ		ท้ายสุด
Tao Jun	เถาจุ้น	ง่อก๊ก (Wu)	นักรบ		ท้ายสุด
Tao Qian	โตเกี๋ยม		ขุนนาง		ต้น
Teng Xun	เถิงซิว	ง่อก๊ก (Wu)	ขุนนาง		ท้ายสุด
Teng Yin	เตงอิ๋น	ง่อก๊ก (Wu)	ขุนนาง		ท้ายสุด
Tian Chou	เตียนติ๋ว	วุยก๊ก (Wei)	นักรบ	อ้วนเสี้ยว	ต้น
Tian Du	เตียวอี้	วุยก๊ก (Wei)	นักรบ		ปลาย
Tian Feng	เตียนห้อง		กุนซือ	อ้วนเสี้ยว	ต้น
Tian Kai	เต๊งไก๋		ขุนนาง		ต้น
Tian Xu	เตนซก	วุยก๊ก (Wei)	นักรบ		ท้ายสุด
Tian Zhang	เถียนจัง	วุยก๊ก (Wei)	นักรบ		ท้ายสุด
Tu An	เขาอั๋น		นักรบ	ม่าน	ปลาย
Wan Chan	อองเฉียง		นักรบ		ต้น
Wan Yu	บั้นเฮ็ก	ง่อก๊ก (Wu)	นักรบ		ท้ายสุด
Wan Zheng	บั้นเจ้ง	วุยก๊ก (Wei)	นักรบ		ปลาย
Wang Bi	อองปิด	วุยก๊ก (Wei)	ขุนนาง		กลาง
Wang Can	อองซัน	วุยก๊ก (Wei)	ขุนนาง	เล่าเปียว	กลาง
Wang Chang	อองซอง	วุยก๊ก (Wei)	นักรบ		ท้ายสุด
Wang Chun	อองตุ้น	ง่อก๊ก (Wu)	นักรบ		ท้ายสุด
Wang Fang	อ่องหอง		นักรบ	ตั๋งโต๊ะ	ต้น
Wang Fu	อองฮู	จกก๊ก (Shu)	กุนซือ		กลาง
Wang Guan	อองก๋วน	วุยก๊ก (Wei)	ขุนนาง		ปลาย
Wang Han	อองเสีย	จกก๊ก (Shu)	นักรบ		ท้ายสุด
Wang Hou	อองเฮา	วุยก๊ก (Wei)	นักรบ		ต้น
Wang Hun	อองหุย	วุยก๊ก (Wei)	ขุนนาง		ท้ายสุด
Wang Ji	อองกี๋	วุยก๊ก (Wei)	ขุนนาง		ท้ายสุด
Wang Jian	อองเกี๋ยน		ขุนนาง	กองซุนเอี๋ยน	ปลาย
Wang Jing	อองเก๋ง	วุยก๊ก (Wei)	ขุนนาง		ท้ายสุด
Wang Jun	องโยย	วุยก๊ก (Wei)	นักรบ		ท้ายสุด
Wang Kai	อองก้าย		นักรบ	ลิโป้	ต้น
Wang Kang	อองค้าง	จกก๊ก (Shu)	ขุนนาง		ปลาย
Wang Kuang	อองของ		ขุนนาง		ต้น
Wang Lang	อองลอง	วุยก๊ก (Wei)	ขุนนาง		ต้น
Wang Lei	อองลุย		ขุนนาง	เล่าเจี้ยง	กลาง
Wang Li	อองหลิบ		ขุนนาง		ต้น
Wang Lian	อองเลี้ยน	จกก๊ก (Shu)	ขุนนาง		ปลาย
Wang Mai	หวังม่าย	วุยก๊ก (Wei)	นักรบ		ท้ายสุด
Wang Mou	อี้อองเมา	จกก๊ก (Shu)	ขุนนาง		ปลาย
Wang Ping	อองเป๋ง	วุย จก	นักรบ		กลาง
Wang Qi	อองกิ๋น	วุยก๊ก (Wei)	ขุนนาง		ท้ายสุด
Wang Qin	หวังฉี		นักรบ	ตั๋งโต๊ะ	ต้น
Wang Rong	อ๋องหยง	วุยก๊ก (Wei)	นักรบ		ท้ายสุด
Wang Shen	อองซิม	วุยก๊ก (Wei)	กุนซือ		ท้ายสุด
Wang Shuang	อองสง	วุยก๊ก (Wei)	นักรบ		ปลาย
Wang Su	อองซก	วุยก๊ก (Wei)	ขุนนาง		ปลาย
Wang Tao	อองโถ	วุยก๊ก (Wei)	ขุนนาง		ท้ายสุด
Wang Wei	อองอุ้ย		กุนซือ	เล่าเปียว	กลาง
Wang Xiang	หวังเสียง	วุยก๊ก (Wei)	นักรบ		ท้ายสุด
Wang Xiu	อองสิ้ว		กุนซือ	อ้วนเสี้ยว	ต้น
Wang Yan	อองต่ำ	วุยก๊ก (Wei)	ขุนนาง		ต้น
Wang Ye	อองเหงียบ	วุยก๊ก (Wei)	นักรบ		ท้ายสุด
Wang Yi	ฮองอิบ		ขุนนาง		ต้น
Wang Yun	อ้องอุ้น		ขุนนาง		ต้น
Wang Ze	อองเจ๊ก	วุยก๊ก (Wei)	ขุนนาง		ต้น
Wang Zhao	อังเจี๋ยว		นักรบ	อ้วนเสี้ยว	ต้น
Wang Zhen	อองจิ๋น	วุยก๊ก (Wei)	นักรบ		ท้ายสุด
Wang Zhi	อองเซ็ก		ขุนนาง		ต้น
Wang Zhong	อองต๋ง	วุยก๊ก (Wei)	นักรบ		ต้น
Wang Zifu	จูฮก		ขุนนาง		ต้น
Wei Guan	อุยก๋วน	วุยก๊ก (Wei)	ขุนนาง		ท้ายสุด
Wei Hong	อุยหอง	วุยก๊ก (Wei)		พ่อค้า	ต้น
Wei Huang	อุยหลง	วุยก๊ก (Wei)	ขุนนาง		กลาง
Wei Kai	อุไค้	วุยก๊ก (Wei)	ขุนนาง		กลาง
Wei Kang	อุยของ	วุยก๊ก (Wei)	ขุนนาง		กลาง
Wei Miao	งุยเบียว	ง่อก๊ก (Wu)	ขุนนาง		ท้ายสุด
Wei Ping	งุยเป๋ง	วุยก๊ก (Wei)	นักรบ		ปลาย
Wei Xu	งุยซก		นักรบ	ลิโป้	ต้น
Wei Yan	อุยเอี๋ยน	จกก๊ก (Shu)	นักรบ	เล่าเปียว	กลาง
Wei Yin	โอยเอี๋ยน		ขุนนาง	กองซุนเอี๋ยน	ปลาย
Wen Chou	บุนทิว		นักรบ	อ้วนเสี้ยว	ต้น
Wen Hu	บุนเฮา	วุย ง่อ	นักรบ	ลูกบุนขิม	ท้ายสุด
Wen Ping	บุนเพ่ง	วุยก๊ก (Wei)	นักรบ	เล่าเปียว	กลาง
Wen Qin	บุนขิม	วุย ง่อ	นักรบ		ท้ายสุด
Wen Yang	บุนเอ๋ง	วุย ง่อ	นักรบ	ลูกบุนขิม	ท้ายสุด
Wu Anguo	บู๋อันก๊ก		นักรบ	ขงเล่ง	ต้น
Wu Can	งอซัน	ง่อก๊ก (Wu)	ขุนนาง		กลาง
Wu Dun	งอตุ้น		นักรบ	ลิโป้	ต้น
Wu Fu	เงาฮู		นักรบ	ตั๋งโต๊ะ	ต้น
Wu Gang	งอก๋ง	วุยก๊ก (Wei)	ขุนนาง		ท้ายสุด
Wu Jing	งอเก๋ง		ขุนนาง		ต้น
Wu Ju	อาวสิ้ว		ขุนนาง		กลาง
Wu Kuang	เง่าของ		นักรบ	โฮจิ๋น	ต้น
Wu Lan	งอหลัน	จกก๊ก (Shu)	นักรบ	เล่าเจี้ยง	กลาง
Wu Qiong	เหงาเค่ง		ขุนนาง	ตั๋งโต๊ะ	ต้น
Wu Shi	โงห้วน		ขุนนาง		ต้น
Wu Xi	งอสิบ	วุยก๊ก (Wei)	นักรบ		ต้น
Wu Yan	ง่อเอี๋ยน	ง่อก๊ก (Wu)	นักรบ		ท้ายสุด
Wu Yang	อู้เยี้ยน	ง่อก๊ก (Wu)	ขุนนาง		ท้ายสุด
Wu Yi	งออี้	จกก๊ก (Shu)	ขุนนาง	เล่าเจี้ยง	กลาง
Wu Zhi	อู๋จื้อ	วุยก๊ก (Wei)	ขุนนาง		กลาง
Wu Zilan	จูลัน		นักรบ		ต้น
Wuhuan Chu	โฮห้วน		ขุนนาง	อ้วนเสี้ยว	ต้น
Wutu Gu	ลุดตัดกุด		นักรบ	ม่าน	ปลาย
Xi Ni	เคหลี		นักรบ	ม่าน	ปลาย
Xi Zheng	ขับเจ้ง  	จกก๊ก (Shu)	ขุนนาง		ปลาย
Xia Jing	เจียเส็ง	ง่อก๊ก ( Wu )	นักรบ		ปลาย
Xia Xun	แฮซุน	ง่อก๊ก ( Wu )	นักรบ		ปลาย
Xia Yun	เห้หุย		ขุนนาง	ขันที	ต้น
Xiahou Ba	แฮหัวป๋า 	วุยก๊ก (Wei),จกก๊ก (Shu)	นักรบ	ลูกแฮหัวเอี๋ยน	ปลาย
Xiahou Cun	แฮหัวตุ้น	วุยก๊ก (Wei)	นักรบ		กลาง
Xiahou De	แฮหัวเต๊ก	วุยก๊ก (Wei)	นักรบ		กลาง
Xiahou Dun	แฮฮัวตุ้น 	วุยก๊ก (Wei)	นักรบ		ต้น
Xiahou En	แฮหัวอิ๋น	วุยก๊ก (Wei)	นักรบ		กลาง
Xiahou He	แฮหัวโฮ	วุยก๊ก (Wei)	กุนซือ	ลูกแฮหัวเอี๋ยน	ปลาย
Xiahou Hui	แฮหัวฮุย	วุยก๊ก (Wei)	กุนซือ	ลูกแฮหัวเอี๋ยน	ปลาย
Xiahou Jia	แฮหัวเจี๋ย	วุยก๊ก (Wei)	นักรบ		กลาง
Xiahou Lan	แฮหัวอัน	วุยก๊ก (Wei)	นักรบ		กลาง
Xiahou Mao	แฮหัวหลิม	วุยก๊ก (Wei)	นักรบ	ลูกแฮหัวเอี๋ยน	ปลาย
Xiahou Shang	แฮหัวซง	วุยก๊ก (Wei)	นักรบ		กลาง
Xiahou Wei	แฮหัวหุย	วุยก๊ก (Wei)	นักรบ	ลูกแฮหัวเอี๋ยน	ปลาย
Xiahou Xian	แฮหัวเสียน	วุยก๊ก (Wei)	นักรบ		ท้ายสุด
Xiahou Xuan	แฮเฮาเหียน	วุยก๊ก (Wei)	ขุนนาง	น้องแฮหัวป๋า	ท้ายสุด
Xiahou Yuan	แฮหัวเอี๋ยน 	วุยก๊ก (Wei)	นักรบ		ต้น
Xiang Chong	เฮียงทง	จกก๊ก (Shu)	ขุนนาง		ปลาย
Xiang Ju	เซียงกี	จกก๊ก (Shu)			ปลาย
Xie Xiong	เจียหยง	จกก๊ก (Shu)	นักรบ		ปลาย
Xin Chang	ซินเป	วุยก๊ก (Wei)	นักรบ		ปลาย
Xin Ming	ซินเบ้ง		นักรบ	อ้วนเสี้ยว	ต้น
Xin Pi	ซินผี	วุยก๊ก (Wei)	กุนซือ	อ้วนเสี้ยว	ต้น
Xin Ping	ซินเป๋ง		กุนซือ	ฮันฮก,อ้วนเสี้ยว	ต้น
Xing Darong	โต๊ะเอ็ง		นักรบ	เล่าเตา	กลาง
Xing Zhen	ไทสิเขง	วุยก๊ก (Wei)	ขุนนาง		ปลาย
Xu Chu	เคาทู	วุยก๊ก (Wei)	นักรบ		ต้น
Xu Ci	เคาจู	จกก๊ก (Shu)	ขุนนาง		ปลาย
Xu Gong	เค้าก๋อง	ง่อก๊ก ( Wu )	ขุนนาง		ต้น
Xu Huang	ซิหลง 	วุยก๊ก (Wei)	นักรบ		ต้น
Xu Jing	เคาเจ้ง	จกก๊ก (Shu)	ขุนนาง	เล่าเจี้ยง	กลาง
Xu Liu	ชีจิ๋วเป๋ง	วุยก๊ก (Wei)	ขุนนาง		ต้น
Xu Rong	ซีเอ๋ง		นักรบ	ตั๋งโต๊ะ	ต้น
Xu Shao	เขาเฉียว			ผู้ทำนายโจโฉ	ต้น
Xu Shang	ชีเสียง	วุยก๊ก (Wei)	นักรบ		กลาง
Xu Sheng	ชีเซ่ง 	ง่อก๊ก ( Wu )	นักรบ		กลาง
Xu Shu (San Fu)	ชีซี(ตันฮก)	วุยก๊ก (Wei),จกก๊ก (Shu)	กุนซือ		กลาง
Xu Si	เค้ากี๋		กุนซือ	ลิโป้	ต้น
Xu Yan	สวี่เยี่ยน	ง่อก๊ก ( Wu )	ขุนนาง		ปลาย
Xu Yi	เคาหงี	วุยก๊ก (Wei)	นักรบ	ลูกเคาทู	ท้ายสุด
Xu You	เขาฮิว 		กุนซือ	อ้วนเสี้ยว	ต้น
Xu Yun	เค้าอิ๋น	จกก๊ก (Shu)	ขุนนาง		ปลาย
Xu Zhi	เคาจี	วุยก๊ก (Wei)	ขุนนาง		กลาง
Xu Zi	ซิจิด	วุยก๊ก (Wei)	นักรบ		ท้ายสุด
Xue Lan	ซิหลัน		นักรบ	ลิโป้	ต้น
Xue Li	ซีเหล		นักรบ	เล่าอิ้ว	ต้น
Xue Qiao	สีเกี๋ยว	วุยก๊ก (Wei)	นักรบ		ปลาย
Xue Rong	ซิหยิง	ง่อก๊ก ( Wu )	ขุนนาง		ท้ายสุด
Xue Xu	ชีฮู	ง่อก๊ก ( Wu )	ขุนนาง		ท้ายสุด
Xue Yong	ชีจ๋อง	ง่อก๊ก ( Wu )	ขุนนาง		กลาง
Xue Ze	ชีเจ๊ก	วุยก๊ก (Wei)	นักรบ		ปลาย
Xue Zong	ซีหอง	ง่อก๊ก ( Wu )	ขุนนาง		กลาง
Xun Cheng	ซุนซิม		กุนซือ	ฮันฮก	ต้น
Xun Kai	ซุนข่าย	วุยก๊ก (Wei)	นักรบ		ท้ายสุด
Xun Shuang	ซุนซอง		ขุนนาง	ตั๋งโต๊ะ	ต้น
Xun Xu	ซุนซี	วุยก๊ก (Wei)	นักรบ		ท้ายสุด
Xun Yi	สวินโถ	วุยก๊ก (Wei)	ขุนนาง		ท้ายสุด
Xun You	ซุนฮิว	วุยก๊ก (Wei)	กุนซือ	หลานซุนฮก	ต้น
Xun Yu	ซุนฮก	วุยก๊ก (Wei)	กุนซือ	อ้วนเสี้ยว	ต้น
Xun Zheng	ซุนเจ้ง		นักรบ	อ้วนสุด	ต้น
Ya Dan	แงตั๋น		กุนซือ	เกี๋ยง	ปลาย
Yan Baihu	เงียมแปะฮอ		นักรบ		ต้น
Yan Guang	ยำก๋ง		นักรบ	กองซุนจ้าน	ต้น
Yan Jun	เหยียมจุ้น	ง่อก๊ก ( Wu )	ขุนนาง		กลาง
Yan Liang	งันเหลียง		นักรบ	อ้วนเสี้ยว	ต้น
Yan Ming	ฮันเบ้ง	วุยก๊ก (Wei)	นักรบ		กลาง
Yan Pu	เงียมเภา		ขุนนาง	เตียวล่อ	กลาง
Yan Xiang	เอียมเซียง		กุนซือ	อ้วนสุด	ต้น
Yan Yan	เงียมหงัน	จกก๊ก (Shu)	นักรบ	เล่าเจี้ยง	กลาง
Yan Yu	เงียมอี๋		นักรบ	เงียมแปะฮอ	ต้น
Yan Yun	เงียมอู	จกก๊ก (Shu)	นักรบ		ท้ายสุด
Yan Zheng	ลำแจ้ง		นักรบ	โจรผ้าเหลือง	ต้น
Yan Zhi	เงียมจื้อ	จกก๊ก (Shu)			ปลาย
Yang Ang	เอียวหง		นักรบ	เตียวล่อ	กลาง
Yang Biao	เอียวปิว		ขุนนาง	ตั๋งโต๊ะ	ต้น
Yang Bo	เอียวเป๊ก		นักรบ	เตียวล่อ	กลาง
Yang Chou	เอียวสิว		นักรบ	เตียวเอี๋ยง	ต้น
Yang Dajiang	เอียวไต้เจียว		กุนซือ	อ้วนสุด	ต้น
Yang Fang(Feng)	เอียงหอง		นักรบ	ม่าน	ปลาย
Yang Feng	เอียวฮอง		นักรบ	อ้วนสุด	ต้น
Yang Fu	เอียวฮู	วุยก๊ก (Wei)	นักรบ		กลาง
Yang Hong	เอียวฮง	จกก๊ก (Shu)	ขุนนาง		ปลาย
Yang Hu	เอียวเก๋า	วุยก๊ก (Wei)	นักรบ		ท้ายสุด
Yang Huai	เอียวหวย		นักรบ	เล่าเจี้ยง	กลาง
Yang Ji	หยังจี้	วุยก๊ก (Wei)	นักรบ		ท้ายสุด
Yang Jin	หยังจิ้น	วุยก๊ก (Wei)	ขุนนาง		ปลาย
Yang Lin	เอียวเหลง		นักรบ	ฮันเหียน	กลาง
Yang Ling	เอียวเหลง	วุยก๊ก (Wei)	ขุนนาง		ปลาย
Yang Mi	เอียวปิด		นักรบ		ต้น
Yang Qi	เอียวกี		ขุนนาง		ต้น
Yang Qiu	เอียวฉิว	วุยก๊ก (Wei)	นักรบ	หันซุย	กลาง
Yang Qun	หยังฉุน	จกก๊ก (Shu)	ขุนนาง		ปลาย
Yang Ren	เอียวเหียม		นักรบ	เตียวล่อ	กลาง
Yang Song	เอียวสง		ขุนนาง	เตียวล่อ	กลาง
Yang Xin	เอียวหัว	วุยก๊ก (Wei)	ขุนนาง		ท้ายสุด
Yang Xiu	เอียวสิ้ว	วุยก๊ก (Wei)	ขุนนาง	ลูกเอียวปิว	กลาง
Yang Yi	เอียวหงี	จกก๊ก (Shu)	ขุนนาง		ปลาย
Yang Zong	เอียวจ๋ง	วุยก๊ก (Wei)	นักรบ		ปลาย
Yang Zuo	เอียวจอ		นักรบ	กองซุนเอี๋ยน	ปลาย
Yi Ji	อีเจี้ย	จกก๊ก (Shu)	ขุนนาง	เล่าเปียว	กลาง
Yin Damu	อินต้ายบก	วุยก๊ก (Wei)	นักรบ		ปลาย
Yin Feng	อีฟ่ง	วุยก๊ก (Wei)	ขุนนาง		กลาง
Yin Kai	อินไก๋		ขุนนาง	อ้วนเสี้ยว	ต้น
Yin Li	อินเล้		นักรบ	ลิโป้	ต้น
Yin Mo	อินเบด	จกก๊ก (Shu)	ขุนนาง		ปลาย
Yin Ku	สิมเอ๋ง		ขุนนาง	อ้วนเสี้ยว	ต้น
Yin Shang	อินเชียง	วุยก๊ก (Wei)	ขุนนาง		ปลาย
Ying Shao	เองเตียว	วุยก๊ก (Wei)	ขุนนาง		ต้น
Yong Kai	ยงคี	จกก๊ก (Shu)	ขุนนาง	ม่าน	ปลาย
Yu Fan	ยีหวน	ง่อก๊ก ( Wu )	ขุนนาง	อ่องหลอง	ต้น
Yu Ji	อิเกียด	ง่อก๊ก ( Wu )		นักพรต	ต้น
Yu Jin	อิกิ๋ม	วุยก๊ก (Wei)	นักรบ		ต้น
Yu Mi	อิปิ		นักรบ	เล่าอิ้ว	ต้น
Yu Quan	อีจ้วน	ง่อก๊ก ( Wu )	นักรบ		ท้ายสุด
Yu She	ยูสิด		นักรบ	อ้วนสุด	ต้น
Yu Song	งีสง	วุยก๊ก (Wei)	กุนซือ		ท้ายสุด
Yuan Lin	อ้วนหลิม	จกก๊ก (Shu)	นักรบ		ปลาย
Yuan Shang	อ้วนซง		ขุนนาง	ลูกอ้วนเสี้ยว	ต้น
Yuan Shao	อ้วนเสี้ยว		ขุนนาง	อ้วนเสี้ยว	ต้น
Yuan Shu	อ้วนสุด		ขุนนาง		ต้น
Yuan Tan	อ้วนถำ		ขุนนาง	ลูกอ้วนเสี้ยว	ต้น
Yuan Wei	อ้วนหงุย		ขุนนาง	อาอ้วนเสี้ยว	ต้น
Yuan Xi	อ้วนฮี		ขุนนาง	ลูกอ้วนเสี้ยว	ต้น
Yuan Xing	เหยียนจิ้ง	วุยก๊ก (Wei)	นักรบ		ท้ายสุด
Yuan Yi	อ้วนอุ๋ย		ขุนนาง		ต้น
Yuan Yin	อ้วนอิ๋น		ขุนนาง	หลานอ้วนสุด	ต้น
Yue Chen	งักหลิม	วุยก๊ก (Wei)	นักรบ	ลูกงักจิ้น	ปลาย
Yue Ji	อองกิด		นักรบ	เกี๋ยง	ปลาย
Yue Jing	งักจิ้น	วุยก๊ก (Wei)	นักรบ		ต้น
Yue Jiu	งักจิว		นักรบ	อ้วนสุด	ต้น
Zang Ba	จงป้า	วุยก๊ก (Wei)	นักรบ	ลิโป้	ต้น
Ze Rong	ฉกหยง		นักรบ	เล่าอิ้ว	ต้น
Zeng Xuan	เจงสวน	วุยก๊ก (Wei)	นักรบ		ท้ายสุด
Zhai Yuan	เต๊กหงวน	วุยก๊ก (Wei)	นักรบ		กลาง
Zhang Ba (Bao)	เตียวโป้		นักรบ	โจรผ้าเหลือง	ต้น
Zhang Bao	เตียวเปา	จกก๊ก (Shu)	นักรบ		ปลาย
Zhang Bu	เตียวเป๋า	ง่อก๊ก ( Wu )	นักรบ		ท้ายสุด
Zhang Chao	เตียวเจี๋ยว		ขุนนาง	น้องเตียวเมา	ต้น
Zhang Chun	เตียวซุ่น		นักรบ	กบฏ	ต้น
Zhang Da	เตียวตัด	จกก๊ก (Shu)	นักรบ	ฆ่าเตียวหุย	ปลาย
Zhang Dang	เตียวต๋อง	วุยก๊ก (Wei)	ขุนนาง		ปลาย
Zhang Fei	เตียวหุย	จกก๊ก (Shu)	นักรบ		ต้น
Zhang Han	เตียวหัว		นักรบ	หันซุย	กลาง
Zhang He	เตียวคับ	วุยก๊ก (Wei)	นักรบ	อ้วนเสี้ยว	ต้น
Zhang Hi	เตียวหิว	ง่อก๊ก ( Wu )	กุนซือ	ลูกเตียวเจียว	ปลาย
Zhang Hong	เตียวเหียน	ง่อก๊ก ( Wu )	กุนซือ		ต้น
Zhang Hu	เตียวฮอ	วุยก๊ก (Wei)	นักรบ	ลูกเตียวเลี้ยว	ปลาย
Zhang Hua	เตียวหัว	วุยก๊ก (Wei)	ขุนนาง		ท้ายสุด
Zhang Hui	เตียวเฮา		นักรบ	หองจอ	ต้น
Zhang Ji	เตียวเจ		นักรบ	ตั๋งโต๊ะ	ต้น
Zhang Jia	เตียวกี๋	วุยก๊ก (Wei)	นักรบ		กลาง
Zhang Jie	เตียวเจ๊ก	วุยก๊ก (Wei)	ขุนนาง		ท้ายสุด
Zhang Jian	เตียวเคียม		ขุนนาง	เล่าเปียว	ต้น
Zhang Ju	เตียวกี		นักรบ	กบฏ	ต้น
Zhang Jue (Jiao)	เตียวก๊ก		นักรบ	โจรผ้าเหลือง	ต้น
Zhang Jun	เตียวกิ๋น		ขุนนาง		ต้น
Zhang Jung	จังจุ้น	จกก๊ก (Shu)	ขุนนาง		ท้ายสุด
Zhang Kai	เตียวคี		นักรบ	โตเกี๋ยม	ต้น
Zhang Lian(Liang)	เตียวเหลียง		นักรบ	โจรผ้าเหลือง	ต้น
Zhang Liao	เตียวเลี้ยว	วุยก๊ก (Wei)	นักรบ	ลิโป้	ต้น
Zhang Lu	เตียวล่อ		ขุนนาง		ต้น
Zhang Mao	เตียวป้อ	วุยก๊ก (Wei)	ขุนนาง		ปลาย
Zhang Mi	จางมี่	ง่อก๊ก ( Wu )	ขุนนาง		ปลาย
Zhang Miao	เตียวเมา		ขุนนาง		ต้น
Zhang Ming	โจเบ๊ง	วุยก๊ก (Wei)	นักรบ		ท้ายสุด
Zhang Nan	เตียวหลำ	จกก๊ก (Shu)	นักรบ		ปลาย
Zhang Neng	เจียวหลำ	วุยก๊ก (Wei)	นักรบ	อ้วนเสี้ยว	ต้น
Zhang Ni	เตียวหงี	จกก๊ก (Shu)	นักรบ		ปลาย
Zhang Pu	เตียวเภา	วุยก๊ก (Wei)	นักรบ		ปลาย
Zhang Qi	เตียวอิบ	วุยก๊ก (Wei)	ขุนนาง		ท้ายสุด
Zhang Qiu	เตียวกิ๋ว	วุยก๊ก (Wei)	นักรบ		ปลาย
Zhang Rang	เตียวเหยียง		ขุนนาง	ต้น0ขันที	ต้น
Zhang Ren	เตียวหยิม		นักรบ	เล่าเจี้ยง	กลาง
Zhang Shang	จังซั่ง	วุยก๊ก (Wei)	นักรบ		ท้ายสุด
Zhang Shao	เตียวเสียว	จกก๊ก (Shu)	ขุนนาง		ปลาย
Zhang Si	เตียวฮี	จกก๊ก (Shu)	ขุนนาง		ปลาย
Zhang Song	เตียวสง	จกก๊ก (Shu)	กุนซือ	เล่าเจี้ยง	ต้น
Zhang Su	เตียวซก		ขุนนาง	เล่าเจี้ยง	กลาง
Zhang Tao	เตียวโถ	วุยก๊ก (Wei)	ขุนนาง		ปลาย
Zhang Te	เตียวเต๊ก	วุยก๊ก (Wei)	นักรบ		ท้ายสุด
Zhang Ti	เตียวเค้า	ง่อก๊ก ( Wu )	ขุนนาง		ท้ายสุด
Zhang Wan	เตียวอุ๋น		ขุนนาง	ตั๋งโต๊ะ	ต้น
Zhang Wei	เตียวโอย		ขุนนาง	น้องเตียวล่อ	กลาง
Zhang Wen	เตียวอุ๋น	ง่อก๊ก ( Wu )	ขุนนาง		กลาง
Zhang Wu	เตียวบู		นักรบ	เล่าเปียว	กลาง
Zhang Xian	เตียวเสียน		นักรบ	เล่าเปียว	ต้น
Zhang Xiang	จังเซี่ยง	ง่อก๊ก ( Wu )	นักรบ		ท้ายสุด
Zhang Xiu	เตียวสิ้ว	วุยก๊ก (Wei)	ขุนนาง	เตียวเจ	ต้น
Zhang Xun	เตียวหุน		นักรบ	อ้วนสุด	ต้น
Zhang Yan	เตียวเอี๋ยน		ขุนนาง		ต้น
Zhang Yang	เตียวเอี๋ยง		ขุนนาง		ต้น
Zhang Yi	เตียวเอ๊ก	จกก๊ก (Shu)	นักรบ	เล่าเจี้ยง	กลาง
Zhang Yin	เตียวอิ๋ม	วุยก๊ก (Wei)	ขุนนาง		ปลาย
Zhang Ying	เตียวเอ๋ง		นักรบ	เล่าอิ้ว	ต้น
Zhang Yue	เตียวเอียด	ง่อก๊ก ( Wu )	ขุนนาง		ท้ายสุด
Zhang Yun	เตียวอุ๋น	วุยก๊ก (Wei)	นักรบ	เล่าเปียว	กลาง
Zhang Zhao	เตียวเจียว	ง่อก๊ก ( Wu )	กุนซือ		ต้น
Zhang Zhu	เตียวคี	จกก๊ก (Shu)	นักรบ		กลาง
Zhang Zi	เตียวคี	วุยก๊ก (Wei)	นักรบ	อ้วนเสี้ยว	ต้น
Zhang Zun	เตียวจุ๋น	จกก๊ก (Shu)	นักรบ	หลานเตียวหุย	ท้ายสุด
Zhao Ang	เตียวกั๋ง	วุยก๊ก (Wei)	ขุนนาง		กลาง
Zhao Chen	เตียวหงิม		นักรบ	ตั๋งโต๊ะ	ต้น
Zhao Fan	เตียวหอม	จกก๊ก (Shu)	ขุนนาง		กลาง
Zhao Guang	เตียวกอง	จกก๊ก (Shu)	นักรบ	ลูกจูล่ง	ปลาย
